CollectionName,CollectionTitle,CollectionType,WidgetId,WidgetTitle,WidgetName,WidgetPosition,WidgetInventoryType,PageName,PageId,PageTitle,SolrQuery,CreatedAt,UpdatedAt
commerce_roabasedfashion,,static,141f7d62-edf3-4904-99ba-09776f31fca6,Top Offers!,commerce_roabasedfashion,2,one_click_widget,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_diwalifashionbrands,,dynamic,65657c63-3143-4bb3-b303-27b130f4402c,Best Places For Budget Gifts!,search_collection_diwalifashionbrands,3,hw,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,"voucher/select?q=*&indent=true&wt=json&facet=true&fq={!bbox}&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=parent_merchant_id:(1356521 OR 319798 OR 1168377 OR 1332997 OR 346124 OR 346139 OR 319778 OR 1271218 OR 1274193 OR 2186482 OR 1349934 OR 1145180 OR 1297088 OR 1142475 OR 1145195 OR 1354475 OR 1136814 OR 1867714 OR 1420083 OR 1360188 OR 1145194 OR 1420881 OR 319801 OR 1208414 OR 346125 OR 346130 OR 1289121 OR 1168376 OR 319799 OR 1349899 OR 1349871 OR 319794 OR 1292756 OR 2321084)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_beautysku,,static,af9dc8de-3f06-4cb7-b101-9aca8dd9d2f8,Trending Beauty Products!,commerce_beautysku,6,ts,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_forhim,,static,8fe2f40a-559a-48d6-8612-3693e295e2e9,For Him! ,commerce_forhim,-1,ts,For Him!,088987e4-68f7-4302-9755-c5940354ca32,For Him!,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_forhimcoverimage,,static,4f78f89f-1f59-4eee-b0c7-b7c8f74be298,For Him Cover Image!,commerce_forhimcoverimage,1,carousel_widget,For Him!,088987e4-68f7-4302-9755-c5940354ca32,For Him!,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_stationarycombocms,,dynamic,186d3f09-78da-4778-9b51-e9bc9265ff79,Combo discounts on stationary items!,stationary combo widget,6,nux_widget,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_giftshop,,dynamic,2a4d8d7d-69ad-4941-aad1-c91a905ca59d,Gift Shops,URL_GIFTSHOP_OTHER,5,hw,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_kidsstore,,dynamic,374d2751-4dfb-4241-94c1-3a5b769435f1,Kids' Stores,URL_KIDSTORE_OTHER,2,hw,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,"voucher/select?q=*&wt=json&indent=true&d=5&fq=%7b!bbox%7d&sfield=latlon&pt=[[LAT]],[[LON]]&sort=geodist%28%29%20asc&fq=primary_subcategory_s:(""Kids Wear"")",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_diagnosticcenter,,dynamic,869b3836-6724-464e-8ad9-b01d79de7a68,Diagnostic Centers,URL_DIAGNOSTICCENTRE_OTHER,4,hw,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_kidsstore,,dynamic,9c46417d-a1b8-4233-aaa1-cdefc2ed8872,URL_BANNERS_OTHER,URL_BANNERS_OTHER,1,hb,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,"voucher/select?q=*&wt=json&indent=true&d=5&fq=%7b!bbox%7d&sfield=latlon&pt=[[LAT]],[[LON]]&sort=geodist%28%29%20asc&fq=primary_subcategory_s:(""Kids Wear"")",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_fnbcategories,,static,dc7b1936-9fb9-4be6-bdc7-de39ed2ac069,Food,F&B cateogries,7,category_banner_big,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_laundry,,dynamic,dff14ac0-8b4a-4b78-be56-8a597b84cd4b,Laundry Stores,URL_LAUNDRY_OTHER,3,hw,other test page,09065012-2faf-43b6-b5af-5da865d382fa,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_iplsale,,static,46d68cdc-7dd7-4e36-9ee9-6e50319ac335,"IPL - FULL VOLUME SALE : ""Savings ki nayi Aaawaaz""",commerce_iplsale,1,medium_rectangle_collection,IPL - FULL VOLUME SALE,09183bfd-c367-414c-aad0-c958bfa7e849,"IPL - FULL VOLUME SALE : ""Savings ki nayi Aaawaaz""",,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
